timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-02-11,0.00012237,0.00012374,0.00011574,0.00011809,6990119.00000000,1549929599999,834.22599540,31498,3448967.00000000,411.93219492,0
2019-02-12,0.00011810,0.00011950,0.00011605,0.00011767,4053700.00000000,1550015999999,477.38014217,19006,2001395.00000000,235.90234269,0
2019-02-13,0.00011760,0.00012300,0.00011529,0.00012250,4858596.00000000,1550102399999,574.43017709,22138,2516610.00000000,297.72560077,0
2019-02-14,0.00012250,0.00012300,0.00011701,0.00011814,4004378.00000000,1550188799999,481.52547883,23378,2038790.00000000,245.39140596,0
2019-02-15,0.00011814,0.00012278,0.00011731,0.00012072,2804384.00000000,1550275199999,334.27447252,18775,1418744.00000000,169.25515983,0
2019-02-16,0.00012072,0.00012271,0.00011952,0.00012112,2423316.00000000,1550361599999,293.64559121,14647,1228240.00000000,148.90561600,0
2019-02-17,0.00012086,0.00013250,0.00011900,0.00012599,8187715.00000000,1550447999999,1027.11632581,35696,4038618.00000000,506.82358188,0
2019-02-18,0.00012613,0.00012753,0.00011890,0.00012106,6530775.00000000,1550534399999,808.38817500,27012,3076602.00000000,381.20111737,0
2019-02-19,0.00012094,0.00012291,0.00011565,0.00011628,5793513.00000000,1550620799999,690.21101387,22636,2739960.00000000,326.52951279,0
2019-02-20,0.00011616,0.00011983,0.00011253,0.00011635,7056219.00000000,1550707199999,822.99025405,28375,4000804.00000000,467.00469903,0
2019-02-21,0.00011636,0.00011999,0.00011102,0.00011272,7221875.00000000,1550793599999,831.28078610,27670,3717976.00000000,428.19715656,0
2019-02-22,0.00011259,0.00011531,0.00011128,0.00011299,4359534.00000000,1550879999999,492.65217025,17294,2156022.00000000,243.66448480,0
2019-02-23,0.00011309,0.00011472,0.00011011,0.00011135,3912319.00000000,1550966399999,440.30346260,17687,1881730.00000000,211.83072058,0
2019-02-24,0.00011133,0.00011271,0.00010555,0.00010809,6510451.00000000,1551052799999,708.41129817,25481,2941324.00000000,320.50671426,0
2019-02-25,0.00010820,0.00012420,0.00010614,0.00012328,9805090.00000000,1551139199999,1129.20385315,39062,4910216.00000000,564.68261656,0
2019-02-26,0.00012336,0.00012373,0.00011200,0.00011385,6963946.00000000,1551225599999,812.18799902,30500,3355318.00000000,391.26767335,0
2019-02-27,0.00011396,0.00011563,0.00011069,0.00011208,3416550.00000000,1551311999999,386.97114098,16519,1661459.00000000,188.37221097,0
2019-02-28,0.00011204,0.00011600,0.00010850,0.00011121,4186869.00000000,1551398399999,468.69520463,22665,1950442.00000000,218.40006010,0
2019-03-01,0.00011121,0.00011400,0.00010900,0.00011223,4039342.00000000,1551484799999,450.70715488,19063,2065222.00000000,230.46169513,0
2019-03-02,0.00011217,0.00011328,0.00010966,0.00011043,2374545.00000000,1551571199999,263.88207740,12343,1103458.00000000,122.72950200,0
2019-03-03,0.00011043,0.00011223,0.00011014,0.00011020,1810401.00000000,1551657599999,201.31731843,11420,961484.00000000,106.91986630,0
2019-03-04,0.00011016,0.00011397,0.00010703,0.00010855,4479459.00000000,1551743999999,491.72482803,24678,2047286.00000000,224.89728567,0
2019-03-05,0.00010854,0.00011318,0.00010709,0.00011121,7197350.00000000,1551830399999,791.27182127,40779,3604690.00000000,396.58159315,0
2019-03-06,0.00011121,0.00011386,0.00010929,0.00011115,4894131.00000000,1551916799999,543.45051654,19404,2412701.00000000,267.99061750,0
2019-03-07,0.00011114,0.00012245,0.00011001,0.00011666,10255804.00000000,1552003199999,1188.97498485,34742,5182599.00000000,600.62794318,0
2019-03-08,0.00011668,0.00013150,0.00011649,0.00011963,18510221.00000000,1552089599999,2302.31676566,69997,9729121.00000000,1211.54438706,0
2019-03-09,0.00011956,0.00012297,0.00011666,0.00012035,8641860.00000000,1552175999999,1030.57723572,34759,4526123.00000000,539.75820837,0
