timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-02-04,0.00014799,0.00014970,0.00014424,0.00014600,439288.00000000,1549324799999,64.27446459,423,154516.00000000,22.70692879,0
2019-02-05,0.00014610,0.00014734,0.00014291,0.00014453,290457.00000000,1549411199999,42.06273838,376,94250.00000000,13.69864697,0
2019-02-06,0.00014533,0.00015588,0.00014456,0.00014780,674463.00000000,1549497599999,102.03191613,517,428792.00000000,64.79794150,0
2019-02-07,0.00014875,0.00015253,0.00014734,0.00015006,319294.00000000,1549583999999,48.17470582,228,227719.00000000,34.47130401,0
2019-02-08,0.00015120,0.00015300,0.00013755,0.00014060,804198.00000000,1549670399999,116.08669506,413,277545.00000000,40.31029416,0
2019-02-09,0.00014059,0.00014532,0.00013864,0.00014493,692688.00000000,1549756799999,98.31047036,390,412692.00000000,58.81388551,0
2019-02-10,0.00014493,0.00014533,0.00013524,0.00013525,507512.00000000,1549843199999,71.70075021,349,156209.00000000,22.26991674,0
2019-02-11,0.00013586,0.00013982,0.00013405,0.00013806,504090.00000000,1549929599999,69.19485600,226,246419.00000000,33.93519416,0
2019-02-12,0.00013815,0.00014235,0.00013620,0.00013801,501928.00000000,1550015999999,69.93587890,353,238580.00000000,33.21561312,0
2019-02-13,0.00013822,0.00013939,0.00013539,0.00013939,367080.00000000,1550102399999,50.52444938,312,205045.00000000,28.30463631,0
2019-02-14,0.00013922,0.00013922,0.00013515,0.00013665,271019.00000000,1550188799999,37.00802738,140,119776.00000000,16.36927122,0
2019-02-15,0.00013682,0.00013796,0.00012897,0.00013461,912649.00000000,1550275199999,121.62112668,379,411863.00000000,55.09790387,0
2019-02-16,0.00013456,0.00013461,0.00012977,0.00013129,184221.00000000,1550361599999,24.29847156,179,81663.00000000,10.81023107,0
2019-02-17,0.00013022,0.00013453,0.00012521,0.00012521,686531.00000000,1550447999999,89.07045728,398,247597.00000000,32.39560835,0
2019-02-18,0.00012668,0.00012774,0.00011852,0.00011984,461446.00000000,1550534399999,55.93546058,263,196231.00000000,23.68672900,0
2019-02-19,0.00011965,0.00012141,0.00011833,0.00012088,251715.00000000,1550620799999,30.10364857,180,64293.00000000,7.74667916,0
2019-02-20,0.00012169,0.00012579,0.00012015,0.00012283,448626.00000000,1550707199999,55.20315220,308,308252.00000000,38.07434293,0
2019-02-21,0.00012236,0.00012646,0.00011950,0.00012388,517075.00000000,1550793599999,63.44006446,272,175155.00000000,21.51003094,0
2019-02-22,0.00012384,0.00012978,0.00012184,0.00012531,416310.00000000,1550879999999,52.02038310,247,190618.00000000,23.90532449,0
2019-02-23,0.00012501,0.00012669,0.00011782,0.00011881,379598.00000000,1550966399999,46.65788072,276,127475.00000000,15.85022755,0
2019-02-24,0.00011862,0.00012475,0.00011280,0.00012475,498632.00000000,1551052799999,58.32022488,397,280442.00000000,33.04254346,0
2019-02-25,0.00012190,0.00012285,0.00011780,0.00012083,325826.00000000,1551139199999,38.94950302,146,85419.00000000,10.29679675,0
2019-02-26,0.00012053,0.00013000,0.00012053,0.00013000,774142.00000000,1551225599999,96.85655444,346,624051.00000000,78.11796625,0
2019-02-27,0.00013000,0.00013199,0.00012427,0.00012763,447725.00000000,1551311999999,56.86478340,201,150792.00000000,19.14744503,0
2019-02-28,0.00012871,0.00013124,0.00012594,0.00012874,270513.00000000,1551398399999,34.75333916,221,137862.00000000,17.74077122,0
2019-03-01,0.00012794,0.00013117,0.00012738,0.00013117,240531.00000000,1551484799999,30.97623110,164,96118.00000000,12.42227498,0
2019-03-02,0.00013114,0.00013670,0.00013000,0.00013498,410438.00000000,1551571199999,54.79128113,415,148919.00000000,19.91533633,0
2019-03-03,0.00013377,0.00014020,0.00013186,0.00013810,1181242.00000000,1551657599999,161.03146725,719,596221.00000000,81.32553781,0
2019-03-04,0.00013870,0.00015205,0.00013018,0.00013924,3298232.00000000,1551743999999,460.12649487,2190,1208034.00000000,168.95014510,0
2019-03-05,0.00014006,0.00015043,0.00013115,0.00014760,4225621.00000000,1551830399999,599.46279498,1884,2033507.00000000,290.36816920,0
2019-03-06,0.00014756,0.00015896,0.00013456,0.00013659,7065630.00000000,1551916799999,1051.65284662,3815,2560729.00000000,381.80581923,0
2019-03-07,0.00013647,0.00014136,0.00013163,0.00013810,2704460.00000000,1552003199999,366.34930595,1242,1164006.00000000,158.47459479,0
2019-03-08,0.00013678,0.00013797,0.00013230,0.00013482,1105003.00000000,1552089599999,149.39615890,549,455272.00000000,61.66719189,0
