timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-01-01,0.00035948,0.00036855,0.00035000,0.00035388,299771.00000000,1546387199999,106.68188653,570,139781.00000000,50.05018265,0
2019-01-02,0.00035317,0.00035621,0.00032388,0.00033738,240270.00000000,1546473599999,80.69838396,465,112978.00000000,37.66533381,0
2019-01-03,0.00033866,0.00034270,0.00032840,0.00033247,135031.00000000,1546559999999,45.28989105,318,68644.00000000,23.06149374,0
2019-01-04,0.00033441,0.00033500,0.00031460,0.00032165,167501.00000000,1546646399999,53.88772634,310,74590.00000000,24.01102893,0
2019-01-05,0.00031700,0.00032238,0.00031000,0.00031554,151730.00000000,1546732799999,47.82138079,419,65434.00000000,20.68420862,0
2019-01-06,0.00031451,0.00035093,0.00031138,0.00034889,399096.00000000,1546819199999,135.87838766,788,246982.00000000,84.20057513,0
2019-01-07,0.00034941,0.00036080,0.00034387,0.00035247,198468.00000000,1546905599999,69.56280559,325,86468.00000000,30.36392698,0
2019-01-08,0.00034981,0.00035598,0.00034327,0.00035144,145422.00000000,1546991999999,50.66691928,381,66268.00000000,23.17044582,0
2019-01-09,0.00035144,0.00035354,0.00033893,0.00034612,319141.00000000,1547078399999,110.19713445,576,119380.00000000,41.33086314,0
2019-01-10,0.00034611,0.00036629,0.00033650,0.00034911,741509.00000000,1547164799999,260.56006115,1041,349727.00000000,123.15360404,0
2019-01-11,0.00035275,0.00037730,0.00034442,0.00036112,350394.00000000,1547251199999,125.40236851,797,206019.00000000,73.90506001,0
2019-01-12,0.00036110,0.00036112,0.00034623,0.00035691,181773.00000000,1547337599999,64.08485636,370,86994.00000000,30.68095343,0
2019-01-13,0.00035487,0.00036183,0.00034840,0.00035013,271248.00000000,1547423999999,96.14560020,498,138253.00000000,49.06661389,0
2019-01-14,0.00035092,0.00038524,0.00033560,0.00034739,459085.00000000,1547510399999,164.54621803,904,185671.00000000,66.86989284,0
2019-01-15,0.00034701,0.00035703,0.00033602,0.00035591,616204.00000000,1547596799999,211.53501933,651,234254.00000000,80.15475927,0
2019-01-16,0.00035587,0.00039500,0.00034899,0.00037256,501398.00000000,1547683199999,184.44135196,730,214347.00000000,79.51009086,0
2019-01-17,0.00037256,0.00039340,0.00036732,0.00038179,379722.00000000,1547769599999,143.99753398,715,180605.00000000,68.47577856,0
2019-01-18,0.00038016,0.00040484,0.00036529,0.00039442,411116.00000000,1547855999999,158.58507763,801,196096.00000000,76.42193604,0
2019-01-19,0.00039291,0.00043780,0.00038403,0.00039120,989674.00000000,1547942399999,402.77670457,1603,493321.00000000,202.20862024,0
2019-01-20,0.00039119,0.00040643,0.00037666,0.00037964,320732.00000000,1548028799999,124.25782444,370,130096.00000000,50.68115615,0
2019-01-21,0.00037964,0.00040925,0.00037611,0.00039053,243142.00000000,1548115199999,94.13023530,424,107681.00000000,42.23291524,0
2019-01-22,0.00039253,0.00040204,0.00038000,0.00038229,180438.00000000,1548201599999,69.95623762,478,87971.00000000,34.14831741,0
2019-01-23,0.00038207,0.00039834,0.00038000,0.00039260,245822.00000000,1548287999999,96.21008496,423,103191.00000000,40.43454051,0
2019-01-24,0.00039626,0.00040019,0.00038750,0.00039860,171973.00000000,1548374399999,67.93109561,424,65859.00000000,26.03414154,0
2019-01-25,0.00039805,0.00044618,0.00039000,0.00040569,543334.00000000,1548460799999,224.83166828,1075,267844.00000000,110.56337716,0
